CLIENT_ID;SEX;CHILD_FLAG;REALTY_FLAG;ACCOUNTS_FLAG;E_MAIL_FLAG;DCI;PROFIT_FAMILY;UCI;FOREIGN_PASSPORT_FLAG;STANDING_IN_MONTHS_LAST;EDUCATION;TRANSPORT_AMOUNT;Target
64;0;1;0;0;0;8708.0098;32700.0000;0.0000;0;36;5;0;1
65;1;0;1;0;0;14169.0898;20169.0898;6000.0000;0;44;5;0;1
66;0;1;0;0;0;6008.8101;10000.0000;0.0000;0;85;6;0;1
67;0;1;1;0;1;5800.9502;75800.9531;70000.0000;0;54;3;1;1
68;1;1;0;0;0;27471.9395;34052.0000;0.0000;1;96;3;0;1
69;1;1;1;0;0;13994.3301;28994.3301;15000.0000;1;13;6;1;1
70;1;0;1;0;0;21204.3301;33204.3281;2000.0000;0;34;5;0;1
71;0;1;1;0;1;12180.0000;24180.0000;2000.0000;0;24;5;0;1
72;1;0;0;0;0;78923.7969;78923.7969;0.0000;0;48;4;1;1
73;0;1;0;0;0;6370.7598;12500.0000;0.0000;0;129;6;0;1
74;0;0;1;0;1;20481.9707;50481.9688;0.0000;0;20;4;0;1
75;1;0;0;0;0;22922.5605;22922.5605;0.0000;0;20;5;0;1
76;0;1;1;0;0;10209.1104;10209.1104;0.0000;0;137;5;0;1
77;0;0;0;0;0;8000.6401;12020.6396;4020.0000;0;0;5;0;1
78;0;0;0;0;0;17116.9102;17116.9102;0.0000;0;40;3;0;1
79;1;1;0;0;0;16669.9199;32000.0000;0.0000;0;21;3;1;1
80;1;1;0;0;1;212098.6562;220000.0000;0.0000;1;8;3;1;1
81;0;0;1;0;1;17400.0000;17400.0000;0.0000;0;12;4;0;1
82;1;1;1;0;0;45230.5391;85230.5391;30000.0000;0;48;5;1;1
83;0;0;1;0;0;17711.4609;17700.0000;0.0000;0;23;3;1;1
84;1;1;0;0;1;5597.6602;67597.6562;50000.0000;0;24;6;2;1
85;1;0;1;0;0;12443.9199;19443.9199;7000.0000;0;43;5;0;1
86;1;0;0;0;0;17817.6797;17817.6797;0.0000;0;14;5;0;1
87;0;0;0;0;1;7123.6699;7123.6699;0.0000;0;0;4;0;1
88;1;1;1;0;0;34168.8789;40000.0000;0.0000;0;51;7;1;1
89;0;1;0;0;0;20792.0391;51000.0000;0.0000;0;99;3;0;1
90;0;0;0;0;1;4222.3999;4222.3999;0.0000;0;16;6;0;1
91;1;1;1;0;0;17822.5801;23322.5801;5500.0000;0;64;6;0;1
92;1;1;1;0;0;25051.4902;34000.0000;0.0000;0;26;5;0;1
93;1;0;0;0;0;17798.6699;30000.0000;0.0000;0;31;5;1;1
94;0;1;0;0;0;4939.2402;8000.0000;3000.0000;0;48;6;0;1
95;1;0;1;0;0;22330.0000;22330.0000;0.0000;0;27;5;1;1
96;1;0;1;0;0;59150.0000;59150.0000;0.0000;0;17;5;0;1
97;0;1;0;0;0;8252.9199;10252.9199;2000.0000;0;50;5;0;1
98;1;1;1;0;0;34800.0000;84800.0000;0.0000;0;31;5;1;1
99;1;1;0;0;0;22122.7207;35000.0000;0.0000;0;15;5;0;1
100;0;1;0;0;0;24260.3691;30000.0000;0.0000;0;18;6;1;1
101;0;1;0;0;0;9784.7598;15000.0000;0.0000;0;44;6;0;1
102;1;0;0;0;0;990.0000;15990.0000;15000.0000;0;0;5;1;1
103;1;1;1;1;0;0.0000;24000.0000;0.0000;0;0;6;0;1
104;0;0;1;0;0;7014.6499;65000.0000;7985.3501;0;36;5;0;1
105;1;1;1;0;0;42393.4609;85000.0000;15000.0000;0;48;5;1;1
106;1;0;1;0;0;24193.4297;24193.4297;0.0000;0;6;5;0;1
107;0;1;0;1;0;0.0000;18000.0000;0.0000;0;0;6;0;1
108;0;1;0;0;0;9759.0098;23000.0000;0.0000;0;12;5;0;1
109;1;0;1;0;0;6357.0801;6357.0801;0.0000;1;60;6;0;1
110;0;1;1;0;0;12829.4600;12829.4600;0.0000;0;35;3;0;1
111;1;0;1;0;1;39150.0000;89150.0000;0.0000;1;51;3;1;1
112;1;1;0;0;0;14737.6299;42000.0000;10000.0000;0;120;3;0;1
113;1;0;1;0;1;20000.0000;18785.4707;0.0000;0;7;4;0;1
114;0;0;1;0;0;2617.3899;25000.0000;0.0000;0;4;5;-2;1
115;0;0;0;0;0;12444.6699;21444.6699;9000.0000;0;58;3;0;1
116;0;1;0;0;0;16820.0000;16820.0000;0.0000;0;8;3;0;1
117;0;0;0;0;0;3178.5400;11178.5400;8000.0000;0;24;6;0;1
118;1;0;0;1;0;0.0000;19000.0000;10000.0000;0;0;5;0;1
119;1;1;0;0;0;8414.8203;8414.1201;0.0000;0;20;5;0;1
120;1;0;1;0;0;16699.4297;18192.9297;0.0000;1;54;5;1;1
121;1;0;1;0;1;5673.3301;42673.3281;30000.0000;0;69;5;0;1
122;0;1;1;0;1;4350.0000;14350.0000;10000.0000;0;23;5;0;1
123;0;1;1;0;1;12499.0000;35499.0000;15000.0000;0;28;3;0;1
124;1;0;0;0;0;15267.9004;55267.8984;30000.0000;0;33;6;1;1
125;0;1;0;0;0;15811.0000;22811.0000;7000.0000;0;54;3;0;1
126;0;1;1;0;0;6090.0000;70000.0000;15000.0000;0;9;5;0;1
127;1;0;0;0;0;7685.1201;7685.1201;0.0000;0;14;5;0;1
128;0;1;0;0;0;4595.2002;8595.2002;0.0000;0;53;5;0;1
129;0;1;1;0;0;15357.0400;45000.0000;10000.0000;0;101;3;0;1
130;1;1;1;0;0;11030.0801;24030.0801;5000.0000;0;43;5;0;1
131;1;0;0;0;0;8573.2695;16573.2695;3000.0000;0;63;5;1;1
132;0;0;0;0;0;16591.6992;16591.6992;0.0000;0;34;5;0;1
133;1;1;1;0;0;19534.9102;40000.0000;0.0000;0;95;6;0;1
134;0;1;0;0;0;7115.1499;15000.0000;0.0000;0;53;5;0;1
135;1;0;1;0;0;11393.5596;11393.5596;0.0000;0;12;5;0;1
136;0;1;0;0;0;5475.7500;70000.0000;20000.0000;0;6;2;0;1
137;0;0;0;1;0;0.0000;19000.0000;8000.0000;0;24;4;0;1
138;1;0;1;0;0;14358.5596;30000.0000;10000.0000;0;73;6;1;1
139;1;1;1;0;0;6654.9302;40000.0000;4343.2598;0;72;3;0;1
140;0;0;1;0;1;29829.7500;30000.0000;0.0000;0;90;3;0;1
141;1;1;0;0;0;13340.0000;25000.0000;0.0000;0;9;5;0;1
142;1;1;1;0;0;8521.4004;16021.4004;0.0000;0;60;5;0;1
143;1;0;0;0;0;5944.0000;40000.0000;0.0000;0;89;3;0;1
144;1;0;0;0;0;20528.6602;30528.6602;10000.0000;0;36;6;0;1
145;1;0;0;0;0;6380.0000;32000.0000;0.0000;0;44;4;1;1
146;0;0;1;0;0;5109.0000;10109.0000;5000.0000;0;9;6;0;1
147;1;1;1;0;1;21745.2402;36000.0000;0.0000;0;136;4;1;1
148;1;1;0;0;0;21191.2402;21191.2402;0.0000;0;36;4;0;1
149;1;0;1;0;0;20196.8008;35000.0000;0.0000;0;29;4;0;1
150;0;1;0;0;0;9729.5400;24000.0000;3000.0000;0;18;5;0;1
151;1;1;1;0;0;7715.8301;20000.0000;0.0000;0;31;3;0;1
152;1;1;0;0;0;16079.2998;26079.3008;10000.0000;0;24;6;1;1
153;0;0;0;0;1;35248.6602;80000.0000;0.0000;0;37;5;0;1
154;1;1;0;1;0;0.0000;21000.0000;2000.0000;0;0;3;0;1
155;1;1;1;0;0;23132.1699;30132.1797;7000.0000;0;91;4;1;1
156;1;0;0;0;0;104400.0000;350000.0000;0.0000;1;14;5;0;1
157;1;1;1;0;0;3409.0000;9000.0000;0.0000;0;6;5;0;1
158;1;1;0;0;0;8375.1699;15000.0000;0.0000;1;37;4;0;1
159;1;0;0;0;0;18141.3203;18141.3203;0.0000;0;78;5;0;1
160;1;1;0;0;1;21950.1797;26000.0000;0.0000;0;29;5;0;1
161;1;1;0;0;0;24155.4395;33155.4414;0.0000;0;67;3;0;1
162;1;1;0;0;0;22880.7695;30000.0000;0.0000;0;44;6;0;1
163;0;0;0;0;0;13050.0000;31050.0000;0.0000;0;12;5;1;1
164;0;0;0;0;1;26601.5898;60000.0000;5000.0000;0;17;4;0;1
165;0;1;1;0;0;45948.2695;45948.2695;0.0000;1;42;3;1;1
166;1;0;0;0;0;15654.0195;15654.0195;0.0000;0;26;5;0;1
167;0;1;0;0;0;4886.5698;20000.0000;4000.0000;0;6;5;0;1
168;1;0;0;0;1;36238.3906;36238.3906;0.0000;0;90;5;0;1
169;0;1;1;0;0;13885.5596;17885.5605;4000.0000;0;120;5;0;1
170;1;1;0;0;0;10957.3604;35000.0000;10000.0000;0;210;5;0;1
171;1;1;0;1;0;0.0000;16986.1992;5000.0000;0;0;5;1;1
172;0;0;0;0;0;10022.0303;12022.0303;2000.0000;0;61;5;0;1
173;1;1;1;0;0;9954.2500;27954.2500;10000.0000;0;15;5;0;1
174;1;1;0;0;0;8518.3301;15518.3301;0.0000;0;21;6;0;1
175;1;0;1;0;0;8151.8999;19151.9004;11000.0000;0;42;6;0;1
176;1;1;0;0;0;41180.0000;78000.0000;0.0000;0;55;2;0;1
177;0;1;1;0;0;10527.0000;46000.0000;0.0000;0;13;5;0;1
178;0;1;0;0;0;7036.3101;7036.3101;0.0000;0;11;6;0;1
179;0;1;1;0;0;2711.5901;22711.5898;20000.0000;0;11;5;0;1
180;0;1;0;1;0;0.0000;28000.0000;0.0000;0;0;5;0;1
181;0;1;1;0;0;41555.2617;70000.0000;0.0000;1;64;3;1;1
182;1;1;0;1;0;0.0000;8000.0000;0.0000;0;14;6;0;1
183;1;0;0;0;0;17824.4004;27824.4004;0.0000;0;17;5;0;1
184;1;0;1;0;0;26100.0000;26100.0000;0.0000;0;28;5;0;1
185;1;1;0;0;1;13688.0000;29000.0000;0.0000;0;7;1;0;1
186;1;0;1;0;0;10927.2197;23885.7500;0.0000;0;24;4;1;1
187;0;0;1;0;0;8864.3096;8800.0000;0.0000;0;79;6;0;1
188;1;1;0;0;0;14141.0000;34141.0000;10000.0000;0;48;6;2;1
189;1;1;1;0;0;7386.0698;15386.0703;0.0000;0;36;5;0;1
190;1;1;1;1;0;20542.4297;27042.4297;6500.0000;0;12;5;1;1
191;1;0;0;0;0;36540.0000;42000.0000;0.0000;0;38;5;0;1
192;0;0;0;0;0;6241.2300;15741.2305;5000.0000;0;14;3;0;1
193;1;0;1;0;0;13485.0000;35485.0000;15000.0000;0;25;2;1;1
194;1;0;0;0;0;18789.9199;18789.9199;0.0000;0;41;4;1;1
195;1;1;0;0;0;5075.0000;20075.0000;10000.0000;0;20;5;0;1
196;0;1;1;1;0;0.0000;30000.0000;0.0000;1;0;5;0;1
197;0;1;0;0;0;11547.6699;31547.6699;0.0000;0;72;5;0;1
198;0;0;1;0;1;15741.1699;63000.0000;10000.0000;0;104;4;0;1
199;0;1;1;0;1;13458.2100;38000.0000;0.0000;0;47;3;0;1
200;0;0;0;0;0;4906.7998;12906.7998;0.0000;0;17;6;0;1
201;0;0;1;0;0;34811.1406;34811.1406;0.0000;0;19;5;0;1
202;1;0;0;0;0;10073.0000;10073.0000;0.0000;0;60;6;0;1
203;0;1;0;0;0;4764.5698;10000.0000;5000.0000;0;224;5;0;1
204;1;1;1;0;0;10902.7305;25000.0000;2600.0000;0;16;5;0;1
205;1;0;1;0;0;11255.6299;24000.0000;0.0000;0;17;3;1;1
206;1;0;0;0;1;77675.1016;77675.1016;0.0000;1;152;3;0;1
207;0;0;1;0;0;7422.5000;27422.5000;20000.0000;0;60;5;0;1
208;1;1;0;0;0;26726.6309;26728.6309;0.0000;0;26;6;0;1
209;0;1;0;0;1;16157.3896;16157.3896;0.0000;0;37;3;0;1
210;0;1;1;1;1;0.0000;10000.0000;0.0000;0;60;3;0;1
211;1;1;0;0;0;17875.8809;30000.0000;0.0000;0;58;3;1;1
212;1;1;1;0;0;20389.0703;20389.0703;0.0000;0;44;5;0;1
213;0;1;1;0;0;15562.9697;20562.9707;5000.0000;0;42;3;0;1
214;1;0;0;0;0;98589.0000;150000.0000;0.0000;0;61;3;0;1
215;1;0;1;0;0;13398.8496;13398.8496;0.0000;0;322;5;0;1
216;0;1;1;1;0;0.0000;20000.0000;3000.0000;0;0;5;0;1
217;1;1;1;0;0;18326.5996;35000.0000;10000.0000;0;97;5;0;1
218;0;0;0;0;0;6803.1201;6803.1201;0.0000;0;20;4;0;1
219;0;1;1;0;0;22726.0000;22726.0000;0.0000;1;228;3;0;1
220;0;0;0;0;1;34800.0000;34800.0000;0.0000;0;19;6;0;1
221;1;1;1;0;0;5349.6299;5649.6299;300.0000;0;96;5;-1;1
222;0;0;1;0;0;7548.3701;27800.0000;2300.0000;0;20;5;0;1
223;1;0;0;0;1;38002.9102;38002.9102;0.0000;0;35;3;0;1
224;1;1;0;0;0;18077.6797;28077.6797;0.0000;0;52;5;0;1
225;0;1;1;1;0;0.0000;32000.0000;21000.0000;0;0;6;0;1
226;1;1;0;1;0;0.0000;10500.0000;0.0000;0;0;5;1;1
227;1;1;0;0;0;31684.6895;66684.6875;0.0000;1;26;6;1;1
228;0;0;0;0;0;14088.0000;24088.0000;10000.0000;0;17;5;0;1
229;1;0;0;0;0;19587.2793;39587.2812;20000.0000;0;53;3;0;1
230;1;1;1;0;0;15660.0000;40000.0000;0.0000;0;40;6;0;1
231;1;1;1;0;0;9808.4404;12808.4404;3000.0000;0;60;3;0;1
232;0;0;1;0;0;32625.0000;32625.0000;0.0000;1;74;3;1;1
233;0;1;0;0;0;4149.7300;29149.7305;10000.0000;0;60;6;0;1
234;0;1;1;0;0;15087.8701;60000.0000;0.0000;0;36;5;0;1
235;1;0;0;1;0;0.0000;21000.0000;0.0000;0;13;5;0;1
236;0;0;1;0;0;19809.9707;32809.9688;2000.0000;0;334;3;0;1
237;0;1;0;0;0;17400.0000;60000.0000;5000.0000;0;43;5;0;1
238;0;0;0;0;0;15222.8301;19000.0000;4000.0000;0;31;6;0;1
239;0;1;1;0;0;16384.0098;45000.0000;0.0000;0;20;5;0;1
240;1;0;1;0;1;64304.3203;64304.3203;0.0000;0;32;3;1;1
241;0;1;1;0;0;13325.2002;23325.1992;0.0000;0;192;5;0;1
242;0;1;0;0;0;8835.3203;30000.0000;0.0000;0;23;4;0;1
243;1;1;1;0;0;48336.0000;58336.0000;0.0000;0;35;3;1;1
244;1;1;1;0;1;21455.2695;50000.0000;20000.0000;0;59;3;0;1
245;0;0;0;0;0;23652.0000;23652.0000;0.0000;0;21;5;0;1
246;0;1;1;0;0;5995.4102;25995.4102;3000.0000;0;13;4;0;1
247;0;1;0;0;0;9429.1396;9429.1396;0.0000;0;83;5;0;1
248;0;0;0;0;0;6090.0000;6090.0000;0.0000;0;26;3;0;1
249;0;1;0;1;0;12217.5596;12217.5596;0.0000;0;84;6;0;1
250;0;1;1;0;0;9716.3701;14516.3701;4800.0000;0;13;3;0;1
251;0;1;1;0;0;21610.4102;21610.4102;0.0000;0;183;5;0;1
252;0;1;0;0;0;16098.9502;46098.9492;15000.0000;0;80;3;0;1
253;1;0;0;0;0;34782.0703;34782.0703;0.0000;0;28;6;1;1
254;1;1;0;0;0;26864.4609;26864.4609;0.0000;0;58;3;1;1
255;0;1;1;0;0;10182.9199;10182.9199;0.0000;0;29;5;0;1
256;0;1;0;0;1;16235.1396;14000.0000;0.0000;0;185;6;0;1
257;1;1;0;0;0;23490.0000;23490.0000;0.0000;0;79;5;0;1
258;1;0;0;1;0;0.0000;13000.0000;0.0000;0;55;3;0;1
259;1;0;0;0;1;7830.0000;55000.0000;27170.0000;0;66;6;0;1
260;1;0;0;0;1;33813.5508;48813.5508;0.0000;1;67;3;1;1
261;0;0;1;0;0;13769.4902;21169.4902;0.0000;0;13;5;0;1
262;0;1;1;0;0;8775.0596;25000.0000;0.0000;0;18;6;0;1
263;1;1;1;0;0;13204.4404;38000.0000;20000.0000;0;15;5;0;1
264;1;0;0;0;0;9162.4600;16162.4600;7000.0000;1;32;4;0;1
265;1;1;0;0;1;10875.0000;30000.0000;6000.0000;1;29;5;1;1
266;0;1;0;0;0;8159.0400;22000.0000;0.0000;0;45;5;0;1
267;0;0;0;0;0;26680.0000;76680.0000;0.0000;0;22;4;0;1
268;0;1;0;0;0;14659.2402;14659.2402;0.0000;0;33;3;0;1
269;1;0;1;0;0;61858.2109;61858.2109;0.0000;0;163;3;0;1
270;1;1;0;0;0;32190.0000;52190.0000;0.0000;0;8;3;1;1
271;1;1;1;0;0;21750.0000;25000.0000;0.0000;0;17;3;0;1
272;0;0;0;1;1;0.0000;75000.0000;35000.0000;0;0;3;0;1
273;0;1;1;0;0;8366.2695;20000.0000;0.0000;0;44;4;0;1
274;0;1;0;0;0;28914.2305;28914.2305;0.0000;0;75;3;0;1
275;1;1;1;0;0;22578.7207;37000.0000;0.0000;0;40;3;0;1
276;0;0;1;0;0;15866.9600;15866.9600;0.0000;0;30;5;0;1
277;1;1;1;0;0;10348.5498;10348.5498;0.0000;0;109;6;0;1
278;0;1;0;0;0;10504.6904;30504.6895;0.0000;0;26;6;0;1
279;1;1;0;0;1;14955.1299;85000.0000;45000.0000;1;9;3;0;1
280;1;0;1;0;0;19089.0000;25000.0000;0.0000;0;34;5;0;1
281;0;1;1;0;0;6797.6299;20000.0000;0.0000;0;33;4;0;1
282;1;1;0;0;0;20206.9004;31206.9004;5000.0000;0;59;5;1;1
283;1;0;0;0;1;63753.2188;76753.2188;13000.0000;1;61;3;0;1
284;1;0;1;0;0;114265.7969;114265.7969;0.0000;0;16;3;0;1
285;0;1;0;0;0;4386.5400;8386.5400;4000.0000;0;65;5;0;1
286;0;1;1;0;0;32625.0000;107000.0000;10000.0000;0;53;3;0;1
287;1;0;0;0;0;10153.9902;40000.0000;10000.0000;0;168;3;0;1
288;1;0;0;0;0;12689.1201;17689.1191;5000.0000;0;93;4;0;1
289;0;0;0;0;0;13050.0000;20000.0000;5000.0000;0;35;3;1;1
290;0;1;0;0;0;8771.0000;20000.0000;11600.0000;1;25;5;0;1
291;1;0;1;0;0;25436.1992;60000.0000;0.0000;0;15;3;1;1
292;1;1;1;0;0;22040.0000;22040.0000;0.0000;0;17;5;0;1
293;0;1;1;0;0;19910.0508;47000.0000;7000.0000;0;15;5;0;1
294;1;0;1;0;0;6570.3999;25000.0000;0.0000;0;60;6;0;1
295;0;1;1;0;1;30798.8398;30798.8398;0.0000;1;216;3;0;1
296;1;1;0;0;0;20227.3809;25227.3809;0.0000;0;19;5;0;1
297;0;1;1;0;1;31380.5801;62000.0000;0.0000;0;92;3;0;1
298;1;0;0;0;0;20739.6699;40000.0000;0.0000;0;36;5;1;1
299;1;1;1;0;0;24440.0391;32500.0000;0.0000;0;37;6;1;1
300;0;0;1;0;1;33479.5781;33479.5781;12528.0000;1;32;3;0;1
301;1;0;0;0;1;23176.7695;43176.7695;20000.0000;0;12;3;0;1
302;0;0;0;0;0;10966.4004;10966.4004;0.0000;0;73;5;0;1
303;0;1;1;0;0;5092.1802;29657.1797;0.0000;0;46;5;0;1
304;1;1;1;0;0;16375.5703;25000.0000;0.0000;0;68;3;0;1
305;1;1;1;0;0;31062.0000;65000.0000;0.0000;0;396;5;1;1
306;1;0;0;0;1;20497.8105;28797.8105;8000.0000;0;16;5;0;1
307;1;0;0;0;0;16147.2002;29000.0000;10000.0000;0;26;6;0;1
308;0;0;1;1;0;16415.8203;41415.8203;0.0000;0;25;5;0;1
309;1;1;0;0;0;5627.9199;30000.0000;0.0000;0;35;6;0;1
310;0;0;0;0;0;10507.0000;20000.0000;0.0000;0;10;5;0;1
311;0;1;0;0;0;9365.8799;24365.8809;0.0000;0;12;6;0;1
312;0;1;1;0;0;3632.8899;30000.0000;15000.0000;0;29;5;0;1
313;0;1;1;0;0;9312.5195;35000.0000;0.0000;0;118;5;0;1
314;0;1;1;0;0;4950.9600;17950.9609;5000.0000;0;26;6;0;1
315;1;0;1;1;1;0.0000;25000.0000;0.0000;0;0;4;0;1
316;1;1;0;0;1;48457.4688;48457.4688;0.0000;1;36;3;1;1
317;0;0;1;0;0;6445.0000;16445.0000;10000.0000;0;40;5;0;1
318;1;1;1;0;0;15179.7695;45000.0000;10000.0000;1;7;3;0;1
319;0;0;0;0;0;19860.4297;50000.0000;25000.0000;0;44;3;0;1
320;1;1;1;0;0;14032.9805;14032.9805;0.0000;0;60;3;0;1
321;1;1;0;0;0;6307.0000;10000.0000;0.0000;0;36;5;0;1
322;0;1;0;0;0;12981.9697;54000.0000;0.0000;0;60;6;0;1
323;0;1;0;0;0;10277.1396;10277.1396;0.0000;0;7;6;0;1
324;0;1;1;0;0;15433.0000;27433.0000;0.0000;0;35;3;-3;1
325;1;1;1;0;0;5290.0200;13000.0000;7709.9800;0;36;3;1;1
326;0;0;0;0;1;18213.4102;50000.0000;0.0000;0;32;4;0;1
327;1;0;1;0;0;12504.0400;12504.0400;0.0000;0;61;3;0;1
328;1;0;0;0;1;13040.6201;13040.6201;0.0000;0;23;6;1;1
329;0;0;0;0;0;15660.0000;15660.0000;0.0000;0;28;5;1;1
330;1;0;1;0;0;16113.1699;16113.1699;0.0000;1;156;3;0;1
331;1;0;1;0;1;126150.0000;128000.0000;0.0000;0;29;5;1;1
332;1;0;1;0;0;16138.1299;16138.1299;0.0000;0;16;3;0;1
333;1;0;1;0;0;5761.7998;15761.0000;0.0000;0;8;4;0;1
334;1;0;0;0;0;16441.6504;16441.6504;0.0000;0;27;5;0;1
335;1;0;1;0;1;170375.0000;160000.0000;0.0000;1;102;2;2;1
336;1;1;0;0;0;6439.9399;6439.9399;0.0000;0;12;6;0;1
337;1;1;1;0;0;8124.2300;20000.0000;0.0000;0;81;5;0;1
338;1;0;1;0;0;9980.0498;35000.0000;10000.0000;0;54;3;0;1
339;1;1;0;0;0;8252.7998;8252.7998;0.0000;0;60;5;0;1
340;1;1;1;0;1;123265.6562;180000.0000;0.0000;0;114;1;1;1
341;0;1;1;0;0;50805.6719;94464.0000;0.0000;1;52;4;0;1
342;1;0;0;0;0;9227.7402;9227.7402;0.0000;0;60;4;0;1
343;0;0;0;0;0;7770.4902;7770.4902;0.0000;0;34;4;0;1
344;1;0;1;0;1;13319.8604;13319.8604;0.0000;0;15;4;1;1
345;0;0;0;0;0;41760.0000;41760.0000;0.0000;0;14;3;1;1
346;0;0;1;0;0;13920.0000;18920.0000;5000.0000;0;48;5;0;1
347;0;1;1;0;0;24897.1602;54897.1602;0.0000;0;20;5;0;1
348;1;1;0;0;0;15105.8301;20000.0000;0.0000;0;131;5;0;1
349;0;1;0;0;0;5818.3799;25000.0000;0.0000;0;27;5;0;1
